Country,Study_number_urban_overall,Study_number_impacts_specific,Owl_species_number
Poland,11,3,5
Argentina,27,10,3
Mexico,3,1,7
United States,70,37,18
Japan,1,1,3
New Zealand,1,1,1
Canada,27,22,18
China,2,0,1
South Africa,3,1,11
Italy,26,7,7
Australia,27,6,8
Chile,3,0,6
Brazil,8,2,2
Czech Republic ,6,2,3
Spain,18,14,7
United Kingdom,4,3,5
Turkey,1,1,1
Portugal,2,2,2
Egypt,1,1,1
Bulgaria,3,0,2
Croatia,3,1,4
Finland,3,1,2
Israel,2,0,2
Netherlands,2,2,2
Hungary,5,3,4
France,6,2,4
Germany,4,4,4
Switzerland,3,2,3
Sweden,1,1,1
Romania,2,0,2
Cyprus,1,0,1
Greece,1,0,1
Colombia,1,0,1
Belgium,1,1,1
Russia,1,0,1
Indonesia,1,0,1
Peru,2,0,2
Slovenia,1,1,1
Iran,1,1,1
Taiwan,1,1,1
Slovakia,2,1,1
India,1,0,1
Serbia,1,1,1
Estonia,1,0,7
